Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20231002       5.091       N/A     3.780    12.650       N/A     1.608       N/A     6.816     3.515     3.865     5.168       N/A    12.279     3.750       N/A   (0.547)       N/A    11.139     4.702     5.300     6.124     6.072    12.490     5.515     3.930     3.824    55.950     5.330     8.328
20231003       4.972     4.220     3.519    12.650     4.874     1.606       N/A     6.779     3.501     3.882     5.175     5.343    12.345     3.750     9.700   (0.407)       N/A    10.906     4.294     4.801     5.991     5.874    12.440     5.595     3.852     3.708    58.175     5.330     8.161
20231004       4.960     4.100     3.535    12.650     4.854     1.626       N/A     6.793     3.525     3.913     5.191     5.074    12.405     3.750     9.700   (0.248)     3.500    10.792     4.192     5.001     5.791     5.826    12.430     5.312     3.879     3.611    54.606     5.330     8.017
20231005       5.004     4.018     3.561    12.650     4.810     1.601       N/A     6.845     3.526     3.935     5.217     5.018    12.534     3.750     9.700   (0.301)     3.500    10.822     4.084     4.990     5.641     5.907    12.480     5.562     3.875     3.524    54.445     5.330     8.127
20231006       5.174     4.024     3.780    12.650     4.839     1.622       N/A     6.883     3.555     3.951     5.239     5.308    12.578     3.750     9.700   (0.213)     3.500    10.994     4.157     5.290     5.621     5.886    12.430    5.562*     3.878     3.823    29.956     5.330     7.942
20231009       5.174     4.024     3.780    12.650    4.839*     1.622     3.219     6.883     3.555     3.951     5.239     5.308    12.578     3.750     9.700   -0.213*    3.500*    10.994     4.157     5.290     5.621     5.886    12.990     5.562     3.878     3.823    29.956    5.330*     7.942
20231010       5.110     4.052     3.561    12.650     4.867     1.601     4.527     6.874     3.518     3.937     5.201     4.818    12.534     3.750     9.700   (0.184)     3.500    10.994     4.208     5.194     5.877     5.896    13.060     5.553     3.918     3.743    48.022     5.330     8.134
20231011       5.103     3.985     3.564    12.650     4.812     1.605     4.521     6.864     3.462     3.912     5.170     5.284    12.618     3.750     9.700    (0.35)     3.500    11.029     4.181     5.322     5.964     5.885    12.690     5.424     3.805     3.852    41.551     5.330     8.289
20231012       5.294     4.022     3.573   12.650*     4.803     1.604     4.457     6.857     3.445     3.904     5.187     5.231    12.583     3.750     9.700   (0.268)     3.500    11.319     4.168     4.975     5.941     5.855    13.000     5.521     3.813     3.772    34.378     5.330     8.332
20231013       4.872     4.003     3.564    12.650     4.868     1.599     4.571     6.867     3.490     3.913     5.198     4.949    12.549     4.154     9.700   (0.314)     3.500    11.364     4.153     5.187     5.894     5.876    13.150    5.521*     3.817     3.889    33.082     5.330     8.310
20231016       4.965     3.983     2.840    12.650     4.873     1.521     4.919     6.886     3.463     3.885     5.210     4.977    12.557     4.335     9.700   (0.591)     3.500    11.428     4.166     5.189     5.897     5.916    13.190     5.478     3.784     4.028    47.204     5.330     8.311
20231017       5.027     4.003     3.526    12.650     4.898     1.553     4.850     6.887     3.456     3.902     5.195     4.969    12.533     4.451     9.700   (0.316)     3.500    11.278     4.150     5.286     5.917     5.788    13.170     5.886     3.799     3.946    47.473     5.330     8.275
20231018       4.968     4.076     3.563    12.650     4.907     1.579     4.391     6.914     3.463     3.925     5.208     4.798    12.556     4.782     9.700    (0.21)     3.500    11.302     4.153     5.288     5.874     5.831    13.200     5.790     3.884     4.014    41.185     5.330     8.264
20231019       4.981     4.082     3.592    12.650     4.924     1.674     4.481     6.958     3.478     3.945     5.208     4.315    12.527     4.794     9.700   (0.301)     3.500    11.245     4.214     5.236     5.678     5.817    13.170     5.646     3.954     3.950    43.242     5.330     8.210
20231020       5.039     3.997     3.597    12.650     4.937     1.632     4.455     6.949     3.531     3.946     5.209     4.057    12.556     4.331     9.700   (0.303)     3.500    11.201     4.192     5.372     5.568     5.882    13.140    5.646*     3.870     4.243    40.077     5.330     8.150
20231023       4.987     3.973     3.614    12.650     5.007     1.593    4.455*     6.974     3.578     3.973     5.226    4.057*   12.556*     4.506     9.700   (0.279)     3.500    11.262     4.261    5.372*     5.664     5.897    13.110     5.694     3.938     4.186    49.541     5.330     8.234
20231024       5.594     4.057     3.611    12.650     4.951     1.626     6.797     6.926     3.564     3.959     5.220     4.966    12.583     4.326    9.700*    (0.23)     3.500    11.300     4.303     5.354     5.721     5.953    13.110     5.714     3.927     4.143    41.129     5.330     8.221
20231025       6.036     4.285     3.608    12.650     4.945     1.676     3.748     6.943     3.562     3.948     5.233     4.797    11.610     4.304     9.700   (0.221)     3.500    11.378     4.246     5.473     5.734     6.018    12.870     6.098     3.848     3.963    37.714     5.330     8.290
20231026       5.010     4.106     3.568    12.650     4.913     1.613     5.108     6.872     3.539     3.923     5.210     4.459    11.606     4.400     9.700   (0.273)     3.500    10.981     4.186     5.178     5.712     5.938    12.680     5.549     3.853     3.951    33.743     5.330     8.274
20231027       5.043     4.032     3.561    12.650     4.905     1.614     2.117     6.863     3.503     3.911     5.193     4.618    11.835     4.464     9.700    (0.26)     3.500    11.009     4.182     5.109     5.682     5.914    12.670    5.549*     3.837     4.005    29.859     5.330     8.251
20231030       4.982     4.017     3.529    12.650     4.888     1.555     2.568     6.880     3.493     3.878     5.176     4.745    11.699     5.053     9.700    (0.46)     3.500    11.081     4.171     5.080     5.723     5.828    14.750     5.293     3.827     3.882    32.026     5.330     8.380
20231031       5.019     4.053     3.066    12.650     4.787     1.297     1.224     6.768     3.599     3.373     5.213     5.476    11.433     4.679     9.700   (1.001)     3.500    10.935     4.069     5.082     5.860     5.370    14.500     5.598     3.901     3.959    30.728     5.330     8.475
